"Število stavb, njihova gradbena velikost in stanovanja v njih, glede na vrsto stavbe, statistiène regije, Slovenija, meseèno"

"STATISTIÈNA REGIJA";"KLASIFIKACIJA VRST OBJEKTOV [CC-SI]";"MESEC";"Število stavb";"Površina stavb [m2]"
"Pomurska";"11 STANOVANJSKE STAVBE";"2020M09";20;4640
"Pomurska";"12 NESTANOVANJSKE STAVBE";"2020M09";60;6402
"Podravska";"11 STANOVANJSKE STAVBE";"2020M09";30;7313
"Podravska";"12 NESTANOVANJSKE STAVBE";"2020M09";48;6465
"Koroška";"11 STANOVANJSKE STAVBE";"2020M09";13;3349
"Koroška";"12 NESTANOVANJSKE STAVBE";"2020M09";13;1670
"Savinjska";"11 STANOVANJSKE STAVBE";"2020M09";38;8099
"Savinjska";"12 NESTANOVANJSKE STAVBE";"2020M09";56;4892
"Zasavska";"11 STANOVANJSKE STAVBE";"2020M09";8;1964
"Zasavska";"12 NESTANOVANJSKE STAVBE";"2020M09";5;9420
"Posavska";"11 STANOVANJSKE STAVBE";"2020M09";11;2610
"Posavska";"12 NESTANOVANJSKE STAVBE";"2020M09";11;2187
"Jugovzhodna Slovenija";"11 STANOVANJSKE STAVBE";"2020M09";31;7732
"Jugovzhodna Slovenija";"12 NESTANOVANJSKE STAVBE";"2020M09";66;12372
"Osrednjeslovenska";"11 STANOVANJSKE STAVBE";"2020M09";34;11365
"Osrednjeslovenska";"12 NESTANOVANJSKE STAVBE";"2020M09";23;27996
"Gorenjska";"11 STANOVANJSKE STAVBE";"2020M09";34;11283
"Gorenjska";"12 NESTANOVANJSKE STAVBE";"2020M09";16;4409
"Primorsko-notranjska";"11 STANOVANJSKE STAVBE";"2020M09";0;0
"Primorsko-notranjska";"12 NESTANOVANJSKE STAVBE";"2020M09";10;594
"Goriška";"11 STANOVANJSKE STAVBE";"2020M09";9;2426
"Goriška";"12 NESTANOVANJSKE STAVBE";"2020M09";17;3793
"Obalno-kraška";"11 STANOVANJSKE STAVBE";"2020M09";12;2931
"Obalno-kraška";"12 NESTANOVANJSKE STAVBE";"2020M09";1;27
