"Indeksi gradbenih stroškov za nova stanovanja v gradbeništvu (SKD 2008) (èetrtletje / povpreèje leta 2015), Slovenija, èetrtletno"

"ÈETRTLETJE";"Gradbeni stroški - SKUPAJ";"Stroški materiala";"Stroški dela"
"2010Q1";98.1;90.4;108.7
"2010Q2";95.6;94.3;97.5
"2010Q3";98.9;94.8;104.5
"2010Q4";98.0;95.6;101.3
"2011Q1";105.0;98.1;114.8
"2011Q2";100.9;99.3;102.8
"2011Q3";103.5;99.8;108.6
"2011Q4";99.1;99.2;98.4
"2012Q1";103.6;99.1;110.0
"2012Q2";100.3;100.8;99.3
"2012Q3";101.0;100.3;101.8
"2012Q4";98.7;100.1;96.6
"2013Q1";102.7;100.5;105.5
"2013Q2";98.5;100.1;95.8
"2013Q3";100.4;99.8;100.9
"2013Q4";97.7;99.3;94.8
"2014Q1";100.5;99.1;102.2
"2014Q2";98.5;99.1;97.4
"2014Q3";99.3;100.0;98.1
"2014Q4";98.9;100.3;96.6
"2015Q1";101.3;100.6;102.3
"2015Q2";99.6;100.7;98.0
"2015Q3";100.0;100.0;99.9
"2015Q4";99.1;98.6;99.8
"2016Q1";98.2;98.0;98.8
"2016Q2";96.9;98.4;95.1
"2016Q3";98.5;98.8;98.4
"2016Q4";101.7;99.5;104.8
"2017Q1";103.0;101.3;105.6
"2017Q2";100.5;102.2;98.8
"2017Q3";104.1;102.2;107.1
"2017Q4";106.5;103.0;111.5
"2018Q1";104.2;104.1;104.3
"2018Q2";106.4;104.4;108.7
"2018Q3";108.0;105.3;111.3
"2018Q4";106.5;104.2;109.3
"2019Q1";109.0;105.1;113.8
"2019Q2";107.8;105.2;111.0
"2019Q3";112.8;104.7;122.9
"2019Q4";108.7;104.2;114.4
